fsu_serial_no,sector,secon_stage_stratum,household_id,insurance_premium,usual_monthly_consumer_exp
85501,1,1,2,0,13292
85501,1,2,3,0,21292
85501,1,2,4,0,25833
85501,1,2,5,0,11208
85501,1,2,6,0,22792
85501,1,3,7,0,25792
85501,1,3,8,0,5125
85503,1,1,1,0,13125
85503,1,1,2,0,12667
85503,1,2,3,0,14167
85503,1,2,4,0,13708
85503,1,2,5,0,12167
85503,1,2,6,0,13167
85503,1,3,7,0,10167
85503,1,3,8,0,14667
85500,1,1,1,0,19008
85500,1,1,2,0,14375
85500,1,1,3,0,8708
85500,1,2,4,0,11421
85500,1,2,5,0,16583
85500,1,2,6,0,11833
85500,1,3,7,0,15364
85500,1,3,8,0,12192
85509,1,1,1,0,17067
85509,1,1,2,0,15967
85509,1,2,3,0,22167
85509,1,2,4,0,19583
85509,1,2,5,0,23750
85509,1,2,6,0,7250
85509,1,3,7,0,37417
85509,1,3,8,0,22000
85504,1,1,1,0,18997
85504,1,1,2,0,19000
85504,1,2,3,0,35500
85504,1,2,4,0,20000
85504,1,2,5,0,15792
85504,1,2,6,0,11125
85504,1,3,7,0,26017
85504,1,3,8,0,22792
85595,1,1,1,0,24333
85595,1,1,2,0,16683
85595,1,1,3,0,14700
85595,1,2,4,0,11025
85595,1,2,5,0,10100
85595,1,2,6,0,21333
85595,1,3,7,0,13692
85595,1,3,8,0,12017
85598,1,1,1,0,20825
85598,1,1,2,0,16733
85598,1,2,3,0,10700
85598,1,2,4,0,22050
85598,1,2,5,0,8417
85598,1,2,6,0,17500
85598,1,3,7,0,15575
85598,1,3,8,0,16583
85597,1,1,1,0,23167
85597,1,1,2,0,10429
85597,1,2,3,0,10442
85597,1,2,4,0,10638
85597,1,2,5,0,10567
85597,1,2,6,0,12209
85597,1,3,7,0,21425
85597,1,3,8,0,21033
85596,1,1,1,0,23667
85596,1,1,2,0,34800
85596,1,2,3,0,25500
85596,1,2,4,0,27817
85596,1,2,5,0,27700
85596,1,2,6,0,21833
85596,1,3,7,0,20350
85596,1,3,8,0,20092
85592,1,1,1,0,27667
85592,1,1,2,0,16583
85592,1,2,3,0,15583
85592,1,2,4,0,18050
85592,1,2,5,0,17217
85592,1,2,6,0,21700
85592,1,3,7,0,16050
85592,1,3,8,0,20142
85591,1,1,1,0,21192
85591,1,1,2,0,21758
85591,1,2,3,0,19458
85591,1,2,4,0,14208
85591,1,2,5,0,22200
85591,1,2,6,0,20125
85591,1,3,7,0,14908
85591,1,3,8,0,20092
85593,1,1,1,0,40000
85593,1,1,2,0,13433
85593,1,2,3,0,11333
85593,1,2,4,0,17292
85593,1,2,5,0,17958
85593,1,2,6,0,8542
85593,1,3,7,0,16767
85593,1,3,8,0,14133
85590,1,1,1,0,17758
85590,1,1,2,0,12213
85590,1,2,3,0,18700
85590,1,2,4,0,16650
85590,1,2,5,0,18700
85590,1,2,6,0,16879
85590,1,3,7,0,20242
85590,1,3,8,0,17525
85599,1,1,1,0,15350
85599,1,1,2,0,15517
85599,1,2,3,0,18479
85599,1,2,4,0,30233
85599,1,2,5,0,16083
85599,1,2,6,0,12533
85599,1,3,7,0,30975
85599,1,3,8,0,10533
85594,1,1,1,0,32708
85594,1,1,2,0,24550
85594,1,2,3,0,19735
85594,1,2,4,0,18265
85594,1,2,5,0,26150
85594,1,2,6,0,17557
85594,1,3,7,0,16458
85594,1,3,8,0,17650
85545,1,1,1,0,11600
85545,1,1,2,0,20192
85545,1,2,3,0,18317
85545,1,2,4,0,14033
85545,1,2,5,0,17750
85545,1,2,6,0,16950
85545,1,3,7,0,12500
85545,1,3,8,0,12363
85548,1,1,1,0,20892
85548,1,1,2,0,18742
85548,1,2,3,0,18947
85548,1,2,4,0,15600
85548,1,2,5,0,25730
85548,1,2,6,0,16645
85548,1,3,7,0,26771
85548,1,3,8,0,10877
85547,1,1,1,0,14563
85547,1,1,2,0,18558
85547,1,2,3,0,14000
85547,1,2,4,0,15438
85547,1,2,5,0,17405
85547,1,2,6,0,13293
85547,1,3,7,0,19801
85547,1,3,8,0,15592
85546,1,1,1,0,8219
85546,1,1,2,0,19892
85546,1,2,3,0,18673
85546,1,2,4,0,12784
85546,1,2,5,0,14645
85546,1,2,6,0,11703
85546,1,3,7,0,22026
85546,1,3,8,0,18221
85542,1,1,1,0,15317
85542,1,1,2,0,10850
85542,1,2,3,0,11300
85542,1,2,4,0,14308
85542,1,2,5,0,10200
85542,1,2,6,0,12117
85542,1,3,7,0,17583
85542,1,3,8,0,10800
85541,1,1,1,0,42767
85541,1,1,2,0,11575
85541,1,2,3,0,11233
85541,1,2,4,0,8067
85541,1,2,5,0,8217
85541,1,2,6,0,6083
85541,1,3,7,0,11550
85541,1,3,8,0,10150
85543,1,1,1,0,8396
85543,1,1,2,0,24883
85543,1,2,3,0,12108
85543,1,2,4,0,13017
85543,1,2,5,0,16013
85543,1,2,6,0,19217
85543,1,3,7,0,12858
85543,1,3,8,0,12608
85540,1,1,1,0,23350
85540,1,1,2,0,21808
85540,1,2,3,0,21725
85540,1,2,4,0,20950
85540,1,2,5,0,16854
85540,1,2,6,0,19742
85540,1,3,7,0,32950
85540,1,3,8,0,19725
85549,1,1,1,0,16742
85549,1,1,2,0,27437
85549,1,2,3,0,15493
85549,1,2,4,0,8595
85549,1,2,5,0,11930
85549,1,2,6,0,11825
85549,1,3,7,0,23458
85549,1,3,8,0,19975
85544,1,1,1,0,19367
85544,1,1,2,0,12167
85544,1,2,3,0,20583
85544,1,2,4,0,20750
85544,1,2,5,0,20250
85544,1,2,6,0,16267
85544,1,3,7,0,25183
85544,1,3,8,0,23533
85855,1,1,1,0,23117
85855,1,1,2,0,12550
85855,1,2,3,0,18900
85855,1,2,4,0,22733
85855,1,2,5,0,13383
85855,1,2,6,0,17083
85855,1,3,7,0,29183
85855,1,3,8,0,16050
85858,1,1,1,0,11883
85858,1,1,2,0,9450
85858,1,2,3,0,14950
85858,1,2,4,0,18550
85858,1,2,5,0,24817
85858,1,2,6,0,10800
85858,1,3,7,0,14267
85858,1,3,8,0,16317
85857,1,1,1,0,17417
85857,1,1,2,0,10938
85857,1,2,3,0,12167
85857,1,2,4,0,11500
85857,1,2,5,0,29633
85857,1,2,6,0,15950
85857,1,3,7,0,12033
85857,1,3,8,0,18767
85856,1,1,1,0,21842
85856,1,1,2,0,30150
85856,1,2,3,0,17917
85856,1,2,4,0,32817
85856,1,2,5,0,15775
85856,1,2,6,0,18667
85856,1,3,7,0,15546
85856,1,3,8,0,14892
85852,1,1,1,0,54917
85852,1,1,2,0,35167
85852,1,2,3,0,25750
85852,1,2,4,0,25042
85852,1,2,5,0,27317
85852,1,2,6,0,42500
85852,1,3,7,0,42217
85852,1,3,8,0,11208
85851,1,1,1,0,10783
85851,1,1,2,0,9183
